,ID,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons,BoxOfficeNew
93,0,"Dolly Read, Cynthia Myers, Marcia McBroom, John Lazar",,,USA,13-Jun-06,Russ Meyer,"Comedy, Drama, Music",English,60,"Three girls come to Hollywood to make it big, but find only sex, drugs and sleaze.",https://m.media-amazon.com/images/M/MV5BNzJlYmZhNTMtMWM2Yy00MDZiLWJlOGMtMTRkOTEzYmZlZWQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox Film Corporation,NC-17,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",17-Jun-70,TRUE,109 min,Beyond the Valley of the Dolls,movie,,"Roger Ebert (screenplay), Roger Ebert (story), Russ Meyer (story)",1970,tt0065466,6.2,"9,179",,
96,0,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri",Nominated for 1 Oscar. Another 18 wins.,,Italy,8-Dec-98,Vittorio De Sica,Drama,Italian,,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",https://m.media-amazon.com/images/M/MV5BNmI1ODdjODctMDlmMC00ZWViLWI5MzYtYzRhNDdjYmM3MzFjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,ENIC,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '8.3/10'}",13-Dec-49,TRUE,89 min,Bicycle Thieves,movie,,"Cesare Zavattini (story), Luigi Bartolini (novel), Oreste Biancoli (screenplay), Suso Cecchi D'Amico (screenplay), Vittorio De Sica (screenplay), Adolfo Franci (screenplay), Gherardo Gherardi (screenplay), Gerardo Guerrieri (screenplay), Cesare Zavattini (screenplay)",1948,tt0040522,8.3,"129,428",,
98,0,"Carmiña Martínez, José Acosta, Natalia Reyes, Jhon Narváez",,,"Colombia, Denmark, Mexico, Germany, Switzerland, France",,"Cristina Gallego, Ciro Guerra",Drama,"Wayuu, Spanish, English",85,"During the marijuana bonanza, a violent decade that saw the origins of drug trafficking in Colombia, Rapayet and his indigenous family get involved in a war to control the business that ends up destroying their lives and their culture.",https://m.media-amazon.com/images/M/MV5BMjUxODM5ODUyM15BMl5BanBnXkFtZTgwNzA3Nzg3NjM@._V1_SX300.jpg,,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",13-Feb-19,TRUE,125 min,Birds of Passage,movie,,"Maria Camila Arias, Jacques Toulemonde Vidal, Cristina Gallego (original idea)",2018,tt6386748,7.6,"5,833",,507259
100,0,"Mike Anderson, Charles Bethea, Ken Boe, Benjamin Joel Caron",1 nomination.,,USA,,Robert Greene,"Documentary, Western",English,87,An old mining town on the Arizona-Mexico border finally reckons with its darkest day: the deportation of 1200 immigrant miners exactly 100 years ago. Locals collaborate to stage recreations of their controversial past.,https://m.media-amazon.com/images/M/MV5BMWQ0YjY5MDMtZWFhMC00OGMzLTg0MzYtODk4NmMwYTQ5ZmZhXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,,PG,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",5-Sep-18,TRUE,112 min,Bisbee '17,movie,,,2018,tt7520286,6.8,358,,117470
102,0,"Jill Harris, Dallas Reid, Micah Solusod, Cris George",,,Japan,,,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi, Thriller",Japanese,,"Asta and Yuno were abandoned together at the same church and have been inseparable since. As children, they promised that they would compete against each other to see who would become the next Emperor Magus.",https://m.media-amazon.com/images/M/MV5BNTAzYTlkMWEtOTNjZC00ZDU0LWI5ODUtYTRmYzY0MTAzYWZlXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_SX300.jpg,,TV-PG,"{'Source': 'Internet Movie Database', 'Value': '7.9/10'}",3-Oct-17,TRUE,30 min,Black Clover,series,,,2017–,tt7441658,7.9,"2,593",2,
103,0,"Mbissine Thérèse Diop, Anne-Marie Jelinek, Robert Fontaine, Momar Nar Sene",2 wins.,,"Senegal, France",22-Nov-05,Ousmane Sembene,Drama,French,72,A black girl from Senegal becomes a servant in France.,https://m.media-amazon.com/images/M/MV5BYjJkYmE3YWMtODk4ZC00NGJmLTkzZjMtMzZlY2FjOWVhY2JjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",,TRUE,65 min,Black Girl,movie,,"Ousmane Sembene (based on a novella by), Ousmane Sembene",1966,tt0060758,7.5,"2,620",,
106,0,"Alec Baldwin, John David Washington, Isiah Whitlock Jr., Robert John Burke",,,USA,6-Nov-18,Spike Lee,"Biography, Crime, Drama",English,83,"Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.",https://m.media-amazon.com/images/M/MV5BMjUyOTE1NjI0OF5BMl5BanBnXkFtZTgwMTM4ODQ5NTM@._V1_SX300.jpg,Focus Features,R,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",10-Aug-18,TRUE,135 min,BlacKkKlansman,movie,http://www.focusfeatures.com/blackkklansman,"Charlie Wachtel, David Rabinowitz, Kevin Willmott, Spike Lee, Ron Stallworth (based on the book by)",2018,tt7349662,7.5,"160,869",,49275340
109,0,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright",4 wins & 8 nominations.,,USA,22-Dec-98,Stephen Norrington,"Action, Horror, Sci-Fi","English, Russian, Serbian",45,"A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.",https://m.media-amazon.com/images/M/MV5BOTk2NDNjZWQtMGY0Mi00YTY2LWE5MzctMGRhZmNlYzljYTg5XkEyXkFqcGdeQXVyMTAyNjg4NjE0._V1_SX300.jpg,New Line Cinema,R,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",21-Aug-98,TRUE,120 min,Blade,movie,,David S. Goyer,1998,tt0120611,7.1,"229,728",,
112,0,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",Nominated for 2 Oscars. Another 11 wins & 16 nominations.,,USA,27-Aug-97,Ridley Scott,"Action, Sci-Fi, Thriller","English, German, Cantonese, Japanese, Hungarian, Arabic",89,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",https://m.media-amazon.com/images/M/MV5BNzQzMzJhZTEtOWM4NS00MTdhLTg0YjgtMjM4MDRkZjUwZDBlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Warner Bros. Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '8.1/10'}",25-Jun-82,TRUE,117 min,Blade Runner,movie,https://www.warnerbros.com/blade-runner,"Hampton Fancher (screenplay), David Webb Peoples (screenplay), Philip K. Dick (novel)",1982,tt0083658,8.1,"636,940",,
115,0,"Ryan Gosling, Dave Bautista, Robin Wright, Mark Arnold",Won 2 Oscars. Another 81 wins & 131 nominations.,"$91,800,042 ","USA, UK, Hungary, Canada, Spain",16-Jan-18,Denis Villeneuve,"Action, Drama, Mystery, Sci-Fi, Thriller","English, Finnish, Japanese, Hungarian, Russian, Somali, Spanish",81,"A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years.",https://m.media-amazon.com/images/M/MV5BNzA1Njg4NzYxOV5BMl5BanBnXkFtZTgwODk5NjU3MzI@._V1_SX300.jpg,Warner Bros. Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '8.0/10'}",6-Oct-17,TRUE,164 min,Blade Runner 2049,movie,http://bladerunnermovie.com,"Hampton Fancher (screenplay by), Michael Green (screenplay by), Hampton Fancher (story by), Philip K. Dick (based on characters from the novel ""Do Androids Dream of Electric Sheep?"" by)",2017,tt1856101,8,"388,084",,92054159
118,0,"Paul Newman, Lolita Davidovich, Jerry Hardin, Gailard Sartain",Nominated for 1 Oscar. Another 1 win & 2 nominations.,,USA,6-Apr-04,Ron Shelton,"Biography, Drama",English,67,"A middle-aged Louisiana governor falls in love with a young stripper, which jeopardizes his political career and the radical policies which have made him a controversial figure.",https://m.media-amazon.com/images/M/MV5BN2UzODlhNjEtYjEwYS00N2Q0LTlhMWUtZWI4YzZhMWNhYTRiL2ltYWdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,Touchstone Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '6.0/10'}",13-Dec-89,TRUE,120 min,Blaze,movie,,"Blaze Starr (book), Huey Perry (book), Ron Shelton (screenplay)",1989,tt0096943,6,"3,375",,704955
121,0,"Daveed Diggs, Rafael Casal, Janina Gavankar, Jasmine Cephas Jones",,,USA,20-Nov-18,Carlos López Estrada,"Comedy, Crime, Drama",English,77,"While on probation, a man begins to re-evaluate his relationship with his volatile best friend.",https://m.media-amazon.com/images/M/MV5BNjgwYTQ4YmEtOTcwYy00NjBlLWI0ZjYtNDM0YmI1OGM0MWY0XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,Foley Walkers Studio,R,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",27-Jul-18,TRUE,95 min,Blindspotting,movie,,"Rafael Casal, Daveed Diggs",2018,tt7242142,7.4,"19,205",,4333394
124,0,"Leslie Mann, John Cena, Ike Barinholtz, Kathryn Newton",1 nomination.,,USA,19-Jun-18,Kay Cannon,Comedy,English,69,Three parents try to stop their daughters from losing their virginity on prom night.,https://m.media-amazon.com/images/M/MV5BMjE0ODIzNjkzMl5BMl5BanBnXkFtZTgwODQ3MzU4NDM@._V1_SX300.jpg,Universal Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",6-Apr-18,TRUE,102 min,Blockers,movie,https://www.blockersmovie.com/,"Brian Kehoe, Jim Kehoe",2018,tt2531344,6.2,"59,631",,60311495
127,0,"Richard Pryor, Harvey Keitel, Yaphet Kotto, Ed Begley Jr.",1 nomination.,,USA,8-Feb-00,Paul Schrader,"Crime, Drama",English,77,"When three workers try to steal from the local union, they discover the corruption of the union instead and decide to blackmail them.",https://m.media-amazon.com/images/M/MV5BOTFiMDQ4NzMtZjdhYi00ODliLWE0OTAtMmU1OTI0YTYyMTY4XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,Universal Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",10-Feb-78,TRUE,114 min,Blue Collar,movie,,"Paul Schrader, Leonard Schrader, Sydney A. Glass (source material)",1978,tt0077248,7.6,"6,233",,604856
130,0,"Hedy Lamarr, Mel Brooks, Jennifer Hom, Anthony Loder",8 wins & 5 nominations.,,USA,24-Apr-18,Alexandra Dean,"Documentary, Biography, History, War","English, German",70,"The life and career of the hailed Hollywood movie star and underappreciated genius inventor, Hedy Lamarr.",https://m.media-amazon.com/images/M/MV5BOWRmNjE5NjctMjY5OC00ZWZlLTlkMjUtMDQ2MmRmMWY4Njc0XkEyXkFqcGdeQXVyNjg1MDUyNTI@._V1_SX300.jpg,Reframed Pictures,,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",9-Mar-18,TRUE,88 min,Bombshell: The Hedy Lamarr Story,movie,,Alexandra Dean,2017,tt6752848,7.4,"2,539",,820300
133,0,"Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne",Nominated for 2 Primetime Emmys. Another 8 wins & 39 nominations.,,USA,,,"Comedy, Crime, Drama, Mystery, Romance","English, Spanish",,"Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.",https://m.media-amazon.com/images/M/MV5BMjA3ODMxMzM5NF5BMl5BanBnXkFtZTgwMDM1NjU0OTE@._V1_SX300.jpg,,TV-14,"{'Source': 'Internet Movie Database', 'Value': '7.9/10'}",13-Sep-05,TRUE,40 min,Bones,series,,Hart Hanson,2005–2017,tt0460627,7.9,"128,775",12,168738
134,0,"Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Jason Sudeikis",,,USA,20-Aug-19,Olivia Wilde,Comedy,"English, Mandarin, Spanish",84,"On the eve of their high school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.",https://m.media-amazon.com/images/M/MV5BMjEzMjcxNjA2Nl5BMl5BanBnXkFtZTgwMjAxMDM2NzM@._V1_SX300.jpg,United Artists,R,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",24-May-19,TRUE,102 min,Booksmart,movie,,"Emily Halpern, Sarah Haskins, Susanna Fogel, Katie Silberman",2019,tt1489887,7.4,"31,992",,22680962
137,0,"Eva Melander, Eero Milonoff, Jörgen Thorsson, Ann Petrén",,,"Sweden, Denmark",,Ali Abbasi,"Crime, Drama, Fantasy, Romance, Thriller","Swedish, English",75,A customs officer who can smell fear develops an unusual attraction to a strange traveler while aiding a police investigation which will call into question her entire existence.,https://m.media-amazon.com/images/M/MV5BZjhkNzVkYjAtMGMzMi00Y2JjLWFkMzgtNjQ3Mzk2YThhZWExXkEyXkFqcGdeQXVyNjc5Mjg0NjU@._V1_SX300.jpg,,R,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",26-Oct-18,TRUE,110 min,Border,movie,,"John Ajvide Lindqvist (based on the short story ""Gräns"" by), Ali Abbasi (screenplay), Isabella Eklöf (screenplay), John Ajvide Lindqvist (screenplay)",2018,tt5501104,7,"14,350",,771930
139,0,"Hudhail Al-Amir, Lloyd Avery II, Angela Bassett, Miya McGhee",Nominated for 2 Oscars. Another 11 wins & 14 nominations.,,USA,6-Mar-01,John Singleton,"Crime, Drama",English,76,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence and future prospects.",https://m.media-amazon.com/images/M/MV5BZmRjNDI5NTgtOTIwMC00MzJhLWI4ZTYtMmU0ZTE3ZmRkZDNhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Columbia Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",12-Jul-91,TRUE,112 min,Boyz n the Hood,movie,,John Singleton,1991,tt0101507,7.7,"113,938",,57504069
142,0,"Rick Hearst, Gordon MacDonald, Jennifer Lowry, Theo Barnes",,,USA,22-Jul-03,Frank Henenlotter,"Comedy, Horror",English,,"One morning, a young man wakes to find that a small, disgusting creature has attached itself to the base of his brain stem. The creature gives him a euphoric state of happiness but demands human victims in return.",https://m.media-amazon.com/images/M/MV5BNzM1ZmFmNjUtODYyMi00ZDdkLTk2M2QtOTA3NzkyNmIwMDUyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Home Video,R,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",22-Apr-88,TRUE,84 min,Brain Damage,movie,,Frank Henenlotter,1988,tt0094793,6.7,"8,168",,
144,0,"Jonathan Pryce, Robert De Niro, Katherine Helmond, Ian Holm",Nominated for 2 Oscars. Another 8 wins & 3 nominations.,,"UK, USA",31-Mar-98,Terry Gilliam,"Drama, Sci-Fi",English,88,"A bureaucrat, in a retro-future world, tries to correct an administrative error and becomes an enemy of the state.",https://m.media-amazon.com/images/M/MV5BMDM0YTM3Y2UtNzY5MC00OTc4LThhZTYtMmM0ZGZjMmU1ZjdmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Universal Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '7.9/10'}",18-Dec-85,TRUE,132 min,Brazil,movie,,"Terry Gilliam (screenplay by), Tom Stoppard (screenplay by), Charles McKeown (screenplay by)",1985,tt0088846,7.9,"176,875",,
147,0,"Ah-in Yoo, Steven Yeun, Jong-seo Jun, Soo-Kyung Kim",,,"South Korea, Japan",,Chang-dong Lee,"Drama, Mystery","Korean, English",90,"Jong-su bumps into a girl who used to live in the same neighborhood as him, who asks him to look after her cat while on a trip to Africa. When back, she introduces Ben, a mysterious guy she met there, who confesses his secret hobby.",https://m.media-amazon.com/images/M/MV5BMWNmYjI1M2UtNDdkNi00MTgwLWFiZmYtODcxNWZhM2Y2NWFkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",17-May-18,TRUE,148 min,Burning,movie,,"Jungmi Oh (screenplay by), Chang-dong Lee (screenplay by), Haruki Murakami (based on the short story ""Barn Burning"" by)",2018,tt7282468,7.6,"26,779",,718991
149,0,"Paul Newman, Robert Redford, Katharine Ross, Strother Martin",Won 4 Oscars. Another 16 wins & 14 nominations.,,USA,16-May-00,George Roy Hill,"Biography, Crime, Drama, Western","English, Spanish",66,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",https://m.media-amazon.com/images/M/MV5BMTkyMTM2NDk5Nl5BMl5BanBnXkFtZTgwNzY1NzEyMDE@._V1_SX300.jpg,20th Century Fox,PG,"{'Source': 'Internet Movie Database', 'Value': '8.0/10'}",24-Sep-69,TRUE,110 min,Butch Cassidy and the Sundance Kid,movie,https://www.foxmovies.com/movies/butch-cassidy-and-the-sundance-kid,William Goldman,1969,tt0064115,8,"189,548",,102308889
152,0,"Ángel Rafael Yanez, Wallace Pereyda, Ángel Leonel Corral, Fabiana Hernandez",,,"Mexico, Colombia",,Julio Hernández Cordón,Drama,Spanish,,"In a timeless México where women are disappearing, a girl called Huck wears a mask to hide her gender. She helps her dad, a tormented addict, to take care of an abandoned baseball camp ...",https://m.media-amazon.com/images/M/MV5BMWNjOTVkMTctYTY1My00OGU2LTllMjItODVjNTEyYzQwYTZhXkEyXkFqcGdeQXVyOTg5MzI3NA@@._V1_SX300.jpg,,,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",10-May-19,TRUE,84 min,Buy Me a Gun,movie,,Julio Hernández Cordón,2018,tt7425520,6.7,262,,
153,0,"Frank Whaley, Peter Gallagher, Lara Flynn Boyle, John Spencer",1 nomination.,,USA,20-Jan-98,Raymond De Felitta,"Drama, Mystery",English,,A society playboy with a taste for the lowlife is set up for exploitation by an unscrupulous undercover cop and his shadowy political masters.,https://m.media-amazon.com/images/M/MV5BNGYyMTVmODctMzc2OC00NWEzLWE1NTgtMDlkNDg3ZGFkNWFiXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,Cineville,R,"{'Source': 'Internet Movie Database', 'Value': '5.6/10'}",10-Jul-96,TRUE,107 min,Cafe Society,movie,,Raymond De Felitta,1995,tt0112611,5.6,327,,11103205
154,0,"Melissa McCarthy, Richard E. Grant, Dolly Wells, Ben Falcone",,,USA,,Marielle Heller,"Biography, Comedy, Crime, Drama",English,87,"When Lee Israel falls out of step with current tastes, she turns her art form to deception.",https://m.media-amazon.com/images/M/MV5BMTFkZmFmNzEtM2FjZC00MmQ1LThlMjctODc1M2RmNzE5NjFjXkEyXkFqcGdeQXVyODY1NDk1NjE@._V1_SX300.jpg,Fox Searchlight Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",2-Nov-18,TRUE,106 min,Can You Ever Forgive Me?,movie,http://www.foxsearchlight.com/canyoueverforgiveme/,"Nicole Holofcener (screenplay by), Jeff Whitty (screenplay by)",2018,tt4595882,7.1,"33,776",,8803865
157,0,"Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons",5 wins & 7 nominations.,,"USA, UK",7-Aug-01,Bernard Rose,"Horror, Thriller",English,,"The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth.",https://m.media-amazon.com/images/M/MV5BYjVjYjhlNTQtN2UxOC00Njk5LWFjNDctODNjZTI1ZGM0ZDZkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Sony Pictures Home Entertainment,R,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",16-Oct-92,TRUE,99 min,Candyman,movie,,"Clive Barker (based on ""The Forbidden"" by), Bernard Rose",1992,tt0103919,6.6,"59,792",,
159,0,"Robert De Niro, Nick Nolte, Jessica Lange, Juliette Lewis",Nominated for 2 Oscars. Another 4 wins & 17 nominations.,,USA,18-Sep-01,Martin Scorsese,"Crime, Thriller",English,73,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.",https://m.media-amazon.com/images/M/MV5BNjdhNzZlYzYtYTBlNS00NTJiLWI2ZWUtMDI2YzI2MzM5NjY4XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,MCA/Universal Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",15-Nov-91,TRUE,128 min,Cape Fear,movie,,"John D. MacDonald (novel), James R. Webb (earlier screenplay), Wesley Strick (screenplay)",1991,tt0101540,7.3,"155,984",,79091969
162,0,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad",,,"Lebanon, France, USA",26-Mar-19,Nadine Labaki,Drama,"Arabic, Amharic",75,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",https://m.media-amazon.com/images/M/MV5BMmExNzU2ZWMtYzUwYi00YmM2LTkxZTQtNmVhNjY0NTMyMWI2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Sony Pictures Classics,R,"{'Source': 'Internet Movie Database', 'Value': '8.5/10'}",20-Sep-18,TRUE,126 min,Capernaum,movie,https://sonyclassics.com/capernaum/,"Nadine Labaki (screenplay), Jihad Hojeily (screenplay), Michelle Keserwany (screenplay), Georges Khabbaz (in collaboration with), Khaled Mouzanar (in collaboration with)",2018,tt8267604,8.5,"24,916",,1661096
165,0,"Harry Belafonte, Dorothy Dandridge, Pearl Bailey, Olga James",Nominated for 2 Oscars. Another 5 wins & 6 nominations.,,USA,22-Jan-02,Otto Preminger,"Drama, Musical, Romance",English,65,"Contemporary version of the Bizet opera, with new lyrics and an African-American cast.",https://m.media-amazon.com/images/M/MV5BMTFmNTc0NDgtYTgwNi00MDQwLWE0ZGEtZWVlZDU0ZDEyZWMwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,20th Century Fox,Approved,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",28-Oct-54,TRUE,105 min,Carmen Jones,movie,,"Oscar Hammerstein II (book), Harry Kleiner (screenplay)",1954,tt0046828,6.8,"4,127",,
168,0,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",Won 3 Oscars. Another 5 wins & 9 nominations.,,USA,15-Feb-00,Michael Curtiz,"Drama, Romance, War","English, French, German, Italian",100,A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,Warner Bros. Pictures,PG,"{'Source': 'Internet Movie Database', 'Value': '8.5/10'}",23-Jan-43,TRUE,102 min,Casablanca,movie,https://www.warnerbros.com/casablanca,"Julius J. Epstein (screenplay), Philip G. Epstein (screenplay), Howard Koch (screenplay), Murray Burnett (play), Joan Alison (play)",1942,tt0034583,8.5,"483,606",,
